InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	979.49	6700	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
1	898.58	3590	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
2	979.02	5580	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
3	1032.48	500	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
4	951.55	1480	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
5	997.88	1420	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
6	978.08	1170	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
7	974.98	1340	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
8	973.21	4140	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
9	1002.97	1150	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
10	959.48	1290	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
11	941.17	4660	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
12	964.07	1130	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
13	1008.43	930	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
14	968.83	4020	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
15	1002.01	1200	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
16	1078.54	4470	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
17	1004.24	8110	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
18	957.58	8980	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
19	1037.64	3760	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
20	1001.95	410	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
21	1022.8	860	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
22	991.71	1260	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
23	927.98	1850	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
24	931.16	1980	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
25	1003.88	1230	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
26	938.7	6580	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
27	959.66	5370	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
28	990.4	910	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
29	1041.25	1390	HYBRID	DPOP	ONLINE	12	90.0	0.8	4
