InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
1	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
2	-∞	40	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
3	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
4	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
5	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
6	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
7	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
8	-∞	20	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
9	-∞	20	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
10	-∞	20	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
11	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
12	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
13	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
14	-∞	20	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
15	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
16	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
17	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
18	-∞	50	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
19	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
20	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
21	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
22	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
23	-∞	40	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
24	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
25	-∞	40	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
26	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
27	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
28	-∞	30	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
29	-∞	20	LS_RAND	MGM	INFINITE_HORIZON	10	60.0	0.9	4
