Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-871.44	270	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
0	-293.96	400	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
1	-91.83	410	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
2	123.22	420	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
3	195.45	440	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
4	257.74	450	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
5	257.74	460	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
6	257.74	470	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
7	257.74	490	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
8	257.74	500	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
9	257.74	510	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
10	257.74	520	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
11	257.74	540	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
12	257.74	560	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
13	257.74	570	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
14	257.74	590	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
15	257.74	600	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
16	257.74	620	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
17	257.74	640	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
18	257.74	650	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
19	257.74	670	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
20	257.74	680	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
21	257.74	690	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
22	257.74	700	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
23	257.74	710	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
24	257.74	720	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
25	257.74	730	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
26	257.74	740	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
27	257.74	750	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
28	257.74	760	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
29	257.74	780	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
30	257.74	790	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
31	257.74	800	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
32	257.74	810	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
33	257.74	830	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
34	257.74	850	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
35	257.74	860	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
36	257.74	870	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
37	257.74	880	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
38	257.74	890	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
39	257.74	900	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
40	257.74	920	7	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	7
