InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1776.84	80	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
1	1741.01	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
2	1740.45	150	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
3	1695.24	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
4	1651.01	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
5	1671.92	480	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
6	1649.6	140	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
7	1701.64	250	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
8	1793.13	330	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
9	1624.07	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
10	1680.52	190	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
11	1659.38	310	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
12	1668.53	420	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
13	1769.84	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
14	1117.5	430	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
15	1936.05	240	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
16	1571.74	190	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
17	1711.48	470	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
18	1642.49	110	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
19	1757.44	300	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
20	1699.89	150	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
21	1835.86	210	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
22	1747.57	180	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
23	1660.88	920	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
24	1724.58	100	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
25	1139.76	220	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
26	1672.46	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
27	1740.39	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
28	1643.52	140	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
29	1748.82	180	LS_SDPOP	DPOP	FINITE_HORIZON	10	160.0	0.9	4
