InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1776.84	80	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
1	1741.01	100	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
2	1740.45	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
3	1695.24	200	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
4	1651.01	260	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
5	1671.92	600	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
6	1649.6	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
7	1701.64	280	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
8	1793.13	450	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
9	1624.07	190	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
10	1680.52	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
11	1659.38	290	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
12	1668.53	420	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
13	1769.84	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
14	1554.9	370	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
15	1936.05	330	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
16	1571.74	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
17	1711.48	450	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
18	1642.49	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
19	1757.44	270	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
20	1699.89	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
21	1835.86	220	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
22	1747.57	110	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
23	1660.88	1040	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
24	1724.58	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
25	1577.16	310	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
26	1672.46	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
27	1740.39	280	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
28	1643.52	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
29	1748.82	150	LS_SDPOP	DPOP	FINITE_HORIZON	10	40.0	0.9	4
