InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1776.84	90	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
1	1741.01	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
2	1740.45	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
3	1695.24	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
4	1651.01	210	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
5	1671.92	510	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
6	1649.6	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
7	1701.64	350	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
8	1793.13	290	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
9	1624.07	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
10	1680.52	150	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
11	1659.38	310	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
12	1668.53	360	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
13	1769.84	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
14	1299.75	380	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
15	1936.05	240	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
16	1571.74	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
17	1711.48	480	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
18	1642.49	90	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
19	1757.44	310	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
20	1699.89	150	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
21	1835.86	270	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
22	1747.57	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
23	1660.88	940	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
24	1724.58	90	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
25	1322.01	230	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
26	1672.46	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
27	1740.39	200	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
28	1643.52	110	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
29	1748.82	150	LS_SDPOP	DPOP	FINITE_HORIZON	10	110.0	0.9	4
