InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1776.84	80	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
1	1741.01	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
2	1740.45	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
3	1695.24	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
4	1651.01	240	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
5	1671.92	550	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
6	1649.6	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
7	1701.64	280	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
8	1793.13	360	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
9	1624.07	200	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
10	1680.52	190	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
11	1659.38	390	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
12	1668.53	420	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
13	1769.84	130	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
14	-304.05	430	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
15	1936.05	270	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
16	1571.74	190	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
17	1711.48	520	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
18	1642.49	100	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
19	1757.44	240	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
20	1699.89	120	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
21	1835.86	340	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
22	1747.57	100	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
23	1660.88	1050	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
24	1724.58	110	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
25	-281.79	340	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
26	1672.46	100	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
27	1740.39	290	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
28	1643.52	160	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
29	1748.82	170	LS_SDPOP	DPOP	FINITE_HORIZON	10	550.0	0.9	4
