InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	15633.55	230	FORWARD	MGM	ONLINE	10	10.0	0.9	10
1	15530.81	180	FORWARD	MGM	ONLINE	10	10.0	0.9	10
2	15365.13	220	FORWARD	MGM	ONLINE	10	10.0	0.9	10
3	14717.84	160	FORWARD	MGM	ONLINE	10	10.0	0.9	10
4	14937.24	190	FORWARD	MGM	ONLINE	10	10.0	0.9	10
5	15399.13	220	FORWARD	MGM	ONLINE	10	10.0	0.9	10
6	14555.39	200	FORWARD	MGM	ONLINE	10	10.0	0.9	10
7	15098.82	200	FORWARD	MGM	ONLINE	10	10.0	0.9	10
8	15148.28	200	FORWARD	MGM	ONLINE	10	10.0	0.9	10
9	15274.83	220	FORWARD	MGM	ONLINE	10	10.0	0.9	10
10	14560.03	200	FORWARD	MGM	ONLINE	10	10.0	0.9	10
11	14437.94	220	FORWARD	MGM	ONLINE	10	10.0	0.9	10
12	15437.54	160	FORWARD	MGM	ONLINE	10	10.0	0.9	10
13	15142.24	200	FORWARD	MGM	ONLINE	10	10.0	0.9	10
14	14596.25	190	FORWARD	MGM	ONLINE	10	10.0	0.9	10
15	14808.61	150	FORWARD	MGM	ONLINE	10	10.0	0.9	10
16	14618.87	200	FORWARD	MGM	ONLINE	10	10.0	0.9	10
17	16037.63	170	FORWARD	MGM	ONLINE	10	10.0	0.9	10
18	15438.08	150	FORWARD	MGM	ONLINE	10	10.0	0.9	10
19	14101.53	190	FORWARD	MGM	ONLINE	10	10.0	0.9	10
20	15193.99	190	FORWARD	MGM	ONLINE	10	10.0	0.9	10
21	15037.91	260	FORWARD	MGM	ONLINE	10	10.0	0.9	10
22	15200.4	210	FORWARD	MGM	ONLINE	10	10.0	0.9	10
23	14876.21	190	FORWARD	MGM	ONLINE	10	10.0	0.9	10
24	14914.03	190	FORWARD	MGM	ONLINE	10	10.0	0.9	10
25	14897.55	130	FORWARD	MGM	ONLINE	10	10.0	0.9	10
26	15181.27	130	FORWARD	MGM	ONLINE	10	10.0	0.9	10
27	15398.16	170	FORWARD	MGM	ONLINE	10	10.0	0.9	10
28	15654.34	200	FORWARD	MGM	ONLINE	10	10.0	0.9	10
29	14678.45	170	FORWARD	MGM	ONLINE	10	10.0	0.9	10
