InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	437.55	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
1	482.54	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
2	362.75	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
3	409.19	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
4	481.39	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
5	482.62	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
6	461.93	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
7	435.17	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
8	409.45	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
9	474.66	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
10	374.53	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
11	448.43	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
12	452.12	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
13	478.3	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
14	418.67	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
15	411.64	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
16	438.32	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
17	400.68	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
18	463	10	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
19	417.16	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
20	394.02	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
21	500.27	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
22	409.76	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
23	398.52	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
24	455.75	10	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
25	466.23	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
26	442.17	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
27	441.51	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
28	446.68	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
29	421.04	10	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	4
