Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	FORWARD	MGM	ONLINE	10	4.0	10
0	-∞	0	1210	FORWARD	MGM	ONLINE	10	4.0	10
1	389.3	48	10	FORWARD	MGM	ONLINE	10	4.0	10
2	-∞	40	0	FORWARD	MGM	ONLINE	10	4.0	10
3	-∞	72	0	FORWARD	MGM	ONLINE	10	4.0	10
4	-∞	64	0	FORWARD	MGM	ONLINE	10	4.0	10
5	-∞	64	0	FORWARD	MGM	ONLINE	10	4.0	10
6	-∞	72	0	FORWARD	MGM	ONLINE	10	4.0	10
7	-∞	80	10	FORWARD	MGM	ONLINE	10	4.0	10
8	-∞	64	0	FORWARD	MGM	ONLINE	10	4.0	10
9	-∞	56	0	FORWARD	MGM	ONLINE	10	4.0	10
10	-∞	64	10	FORWARD	MGM	ONLINE	10	4.0	10
