Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	FORWARD	DPOP	ONLINE	10	90.0	10
0	4474	0	2060	FORWARD	DPOP	ONLINE	10	90.0	10
1	4142.8	0	1910	FORWARD	DPOP	ONLINE	10	90.0	10
2	4438.6	0	1920	FORWARD	DPOP	ONLINE	10	90.0	10
3	4306	0	1920	FORWARD	DPOP	ONLINE	10	90.0	10
4	4726	0	1880	FORWARD	DPOP	ONLINE	10	90.0	10
5	4248.8	0	1880	FORWARD	DPOP	ONLINE	10	90.0	10
6	4152	0	1900	FORWARD	DPOP	ONLINE	10	90.0	10
7	4450	0	1870	FORWARD	DPOP	ONLINE	10	90.0	10
8	4502	0	1860	FORWARD	DPOP	ONLINE	10	90.0	10
9	4252.6	0	1910	FORWARD	DPOP	ONLINE	10	90.0	10
10	4488	0	1870	FORWARD	DPOP	ONLINE	10	90.0	10
