Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	FORWARD	MGM	ONLINE	10	2.0	10
0	-∞	0	1160	FORWARD	MGM	ONLINE	10	2.0	10
1	-∞	36	0	FORWARD	MGM	ONLINE	10	2.0	10
2	-∞	24	10	FORWARD	MGM	ONLINE	10	2.0	10
3	-∞	32	0	FORWARD	MGM	ONLINE	10	2.0	10
4	-∞	36	10	FORWARD	MGM	ONLINE	10	2.0	10
5	-∞	40	0	FORWARD	MGM	ONLINE	10	2.0	10
6	-∞	32	0	FORWARD	MGM	ONLINE	10	2.0	10
7	-∞	40	0	FORWARD	MGM	ONLINE	10	2.0	10
8	-∞	32	0	FORWARD	MGM	ONLINE	10	2.0	10
9	-∞	28	0	FORWARD	MGM	ONLINE	10	2.0	10
10	-∞	32	0	FORWARD	MGM	ONLINE	10	2.0	10
