Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	HYBRID	MGM	ONLINE	10	30.0	10
0	4143	0	1220	HYBRID	MGM	ONLINE	10	30.0	10
1	4304	300	0	HYBRID	MGM	ONLINE	10	30.0	10
2	4511.6	540	0	HYBRID	MGM	ONLINE	10	30.0	10
3	4685.6	240	10	HYBRID	MGM	ONLINE	10	30.0	10
4	4627.6	180	0	HYBRID	MGM	ONLINE	10	30.0	10
5	4622.8	0	0	HYBRID	MGM	ONLINE	10	30.0	10
6	4437.4	0	0	HYBRID	MGM	ONLINE	10	30.0	10
7	4641.6	0	0	HYBRID	MGM	ONLINE	10	30.0	10
8	4720.2	0	0	HYBRID	MGM	ONLINE	10	30.0	10
9	4757.6	0	0	HYBRID	MGM	ONLINE	10	30.0	10
10	4601.6	0	20	HYBRID	MGM	ONLINE	10	30.0	10
