Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	HYBRID	MGM	ONLINE	10	30.0	10
0	4272	0	1000	HYBRID	MGM	ONLINE	10	30.0	10
1	4456.34	600	0	HYBRID	MGM	ONLINE	10	30.0	10
2	4726	240	0	HYBRID	MGM	ONLINE	10	30.0	10
3	4828	0	0	HYBRID	MGM	ONLINE	10	30.0	10
4	4584	360	0	HYBRID	MGM	ONLINE	10	30.0	10
5	4676	0	10	HYBRID	MGM	ONLINE	10	30.0	10
6	4672	0	0	HYBRID	MGM	ONLINE	10	30.0	10
7	4670	0	0	HYBRID	MGM	ONLINE	10	30.0	10
8	4602	0	0	HYBRID	MGM	ONLINE	10	30.0	10
9	4658	0	10	HYBRID	MGM	ONLINE	10	30.0	10
10	4654	0	0	HYBRID	MGM	ONLINE	10	30.0	10
